"ID","Time","FSM","Eng","Mat","Btotal","AGtotal","SCtotal","LTtotal","Ltotal"
1001,1,1,4,4,0,0,0,0,0
1001,2,1,0,0,34,17,124,0,10
1001,3,1,6,6,0,0,0,0,0
1003,1,2,4,4,0,0,0,0,0
1003,2,2,0,0,36,16,119,0,12
1003,3,2,5,6,38,15,59,26,14
1004,1,2,3,4,0,15,0,0,19
1004,2,2,0,0,19,7,0,0,14
1004,3,2,5,5,37,13,0,17,8
1005,1,1,4,4,0,0,0,0,0
1005,2,1,0,0,39,14,99,0,18
1005,3,1,5,4,38,9,62,20,18
1006,1,2,3,4,0,0,0,0,0
1006,2,2,0,0,42,15,56,0,8
1006,3,2,4,4,20,13,28,0,7
1007,1,1,4,5,0,0,0,0,0
1007,2,1,0,0,0,0,0,0,0
1007,3,1,5,6,34,17,75,16,0
1008,1,1,4,4,0,0,105,0,19
1008,2,1,0,0,0,18,28,40,0
1008,3,1,6,5,33,20,20,11,7
1009,1,0,0,0,0,0,0,0,0
1009,2,0,0,0,0,0,0,0,0
1009,3,0,6,5,37,13,66,28,20
1010,1,2,5,4,0,0,0,0,0
1010,2,2,0,0,31,14,32,0,9
1010,3,2,6,6,31,15,57,19,7
1011,1,1,4,4,0,0,0,0,0
1011,2,1,0,0,32,15,94,0,9
1011,3,1,5,5,33,15,49,18,8
1012,1,1,5,5,0,0,0,0,0
1012,2,1,0,0,32,15,35,0,11
1012,3,1,7,6,35,17,52,21,7
1013,1,1,4,4,0,0,0,0,0
1013,2,1,0,0,36,19,30,0,0
1013,3,1,5,6,0,17,0,22,7
1014,1,1,5,4,33,16,48,0,34
1014,2,1,0,0,34,14,122,0,13
1014,3,1,5,6,29,0,78,24,9
1015,1,1,5,5,0,0,0,0,0
1015,2,1,0,0,35,17,27,0,7
1015,3,1,6,6,34,17,20,11,8
1016,1,1,5,4,39,20,71,0,15
1016,2,1,0,0,36,20,74,0,8
1016,3,1,6,6,34,20,27,15,8
1017,1,2,4,4,0,0,0,0,0
1017,2,2,0,0,39,9,64,0,0
1017,3,2,5,6,0,19,103,32,21
1018,1,1,5,5,32,18,0,0,16
1018,2,1,0,0,30,0,54,0,0
1018,3,1,6,6,0,16,43,24,8
1020,1,2,5,4,30,15,0,0,15
1020,2,2,0,0,33,16,23,0,11
1020,3,2,5,6,29,12,28,11,11
1021,1,1,4,4,0,0,0,0,0
1021,2,1,0,0,0,19,69,0,11
1021,3,1,5,5,36,15,0,29,12
1022,1,1,5,4,37,17,0,0,15
1022,2,1,0,0,34,17,25,0,8
1022,3,1,6,6,29,18,0,23,7
1023,1,1,5,4,0,0,0,0,0
1023,2,1,0,0,38,14,74,0,15
1023,3,1,6,5,39,12,91,19,10
1024,1,1,5,4,0,0,0,0,0
1024,2,1,0,0,44,18,0,0,21
1024,3,1,5,5,40,15,0,14,25
1025,1,2,4,4,0,0,0,0,0
1025,2,2,0,0,35,15,24,40,7
1025,3,2,4,5,0,0,0,0,0
1026,1,1,0,0,35,12,61,0,18
1026,2,1,0,0,31,14,33,0,9
1026,3,1,5,6,34,12,26,19,11
1027,1,1,4,4,32,18,0,0,17
1027,2,1,0,0,37,18,52,0,14
1027,3,1,5,4,38,15,29,18,14
1028,1,1,4,4,34,16,138,0,30
1028,2,1,0,0,0,0,0,0,0
1028,3,1,0,0,0,0,0,0,0
1029,1,1,4,4,0,0,59,0,0
1029,2,1,0,0,36,13,20,0,9
1029,3,1,5,6,27,13,34,18,12
1030,1,2,3,5,0,0,0,0,0
1030,2,2,0,0,0,16,79,0,12
1030,3,2,5,6,0,16,42,16,14
1032,1,2,3,3,0,11,84,0,27
1032,2,2,0,0,0,0,0,0,0
1032,3,2,4,4,0,0,43,24,10
1033,1,1,5,3,0,0,0,0,0
1033,2,1,0,0,33,0,33,0,7
1033,3,1,5,5,35,16,0,30,0
1034,1,1,3,3,0,0,0,0,0
1034,2,1,0,0,0,14,97,0,17
1034,3,1,4,4,0,0,95,0,13
1035,1,1,4,3,0,0,0,0,0
1035,2,1,0,0,29,15,26,0,11
1035,3,1,4,4,28,10,42,0,12
1036,1,2,3,4,31,20,0,37,15
1036,2,2,0,0,34,18,20,37,7
1036,3,2,4,4,35,19,25,12,7
1037,1,1,3,3,29,11,0,0,18
1037,2,1,0,0,37,17,76,0,7
1037,3,1,5,5,34,20,27,10,7
1038,1,1,4,4,0,0,0,0,0
1038,2,1,0,0,36,14,58,0,7
1038,3,1,6,4,0,0,0,0,0
1039,1,2,4,5,0,14,148,0,29
1039,2,2,0,0,33,18,69,0,9
1039,3,2,6,6,35,15,29,22,9
1040,1,1,4,4,35,19,0,0,15
1040,2,1,0,0,32,0,64,0,8
1040,3,1,5,6,33,13,72,20,10
1041,1,1,4,4,37,17,0,0,18
1041,2,1,0,0,39,16,57,0,13
1041,3,1,5,6,31,18,25,18,7
1042,1,1,4,4,0,0,0,0,0
1042,2,1,0,0,34,18,36,40,8
1042,3,1,6,6,31,13,36,19,8
1043,1,1,4,4,32,15,65,0,21
1043,2,1,0,0,32,15,79,0,9
1043,3,1,5,5,0,0,0,0,0
1044,1,2,3,3,0,0,0,0,0
1044,2,2,0,0,34,20,70,0,9
1044,3,2,5,4,0,15,0,15,0
1045,1,2,4,4,35,17,0,0,16
1045,2,2,0,0,39,18,38,0,17
1045,3,2,5,5,39,14,21,26,7
1046,1,1,4,5,0,0,0,0,0
1046,2,1,0,0,34,0,56,0,16
1046,3,1,5,6,0,18,35,0,10
1047,1,2,4,4,0,0,0,0,0
1047,2,2,0,0,0,18,0,0,23
1047,3,2,5,5,37,14,42,18,20
1048,1,1,4,4,28,14,0,0,24
1048,2,1,0,0,30,13,27,0,0
1048,3,1,5,6,35,11,47,23,20
1049,1,2,5,3,0,0,0,0,0
1049,2,2,0,0,0,0,0,0,0
1049,3,2,5,4,0,14,0,12,11
1050,1,2,4,4,31,16,0,0,24
1050,2,2,0,0,28,13,0,0,10
1050,3,2,5,5,26,12,0,0,7
1051,1,1,3,4,0,0,0,0,0
1051,2,1,0,0,0,10,103,0,11
1051,3,1,4,3,31,11,56,20,10
1052,1,1,4,4,0,0,0,0,0
1052,2,1,0,0,0,0,118,0,13
1052,3,1,5,5,0,0,28,21,7
1053,1,2,4,3,34,15,94,0,18
1053,2,2,0,0,37,15,105,0,22
1053,3,2,4,3,36,10,53,17,11
1054,1,1,3,4,33,13,54,40,16
1054,2,1,0,0,0,13,0,0,10
1054,3,1,6,5,34,11,54,22,10
1055,1,1,4,4,0,0,0,0,0
1055,2,1,0,0,42,16,33,0,25
1055,3,1,5,6,0,0,0,0,0
1056,1,2,4,4,0,0,0,0,0
1056,2,2,0,0,29,16,80,0,14
1056,3,2,6,6,36,18,51,0,15
1057,1,1,4,5,0,0,0,0,0
1057,2,1,0,0,36,13,78,31,13
1057,3,1,6,6,0,0,0,0,0
1058,1,1,4,4,0,0,0,0,0
1058,2,1,0,0,32,14,61,0,10
1058,3,1,6,5,33,15,34,0,7
1059,1,2,4,4,33,16,0,0,25
1059,2,2,0,0,30,9,36,0,12
1059,3,2,6,6,33,18,30,21,9
1062,1,0,0,0,0,0,0,0,0
1062,2,0,0,0,0,0,0,0,0
1062,3,0,3,4,0,0,0,0,0
1063,1,1,4,4,37,10,125,0,0
1063,2,1,0,0,0,9,85,0,14
1063,3,1,4,4,0,8,81,0,22
1064,1,1,4,4,0,0,0,0,0
1064,2,1,0,0,30,17,78,0,14
1064,3,1,5,4,0,0,0,0,0
1065,1,2,4,4,0,0,0,0,0
1065,2,2,0,0,33,19,80,0,7
1065,3,2,5,4,0,18,42,17,7
1066,1,1,5,4,0,0,0,0,0
1066,2,1,0,0,34,15,0,0,9
1066,3,1,6,6,34,16,50,16,10
1068,1,1,4,4,34,18,41,0,0
1068,2,1,0,0,32,16,56,0,17
1068,3,1,6,6,31,13,51,21,14
1069,1,1,5,5,0,0,0,0,0
