"X","ID","C1_B1","C1_B2","C1_B5","C1_B10","C1_B11","C1_B12","C1_B13","C1_B14","C1_B15","C1_B16","C1_B17","C1_B18","C1_B19","C1_B20","C1_B21","C1_B22","C1_B23","C1_B24","C1_B25","C2_B1","C2_B2","C2_B5","C2_B10","C2_B11","C2_B12","C2_B13","C2_B14","C2_B15","C2_B16","C2_B17","C2_B18","C2_B19","C2_B20","C2_B21","C2_B22","C2_B23","C2_B24","C2_B25","C3_B1","C3_B2","C3_B5","C3_B10","C3_B11","C3_B12","C3_B13","C3_B14","C3_B15","C3_B16","C3_B17","C3_B18","C3_B19","C3_B20","C3_B21","C3_B22","C3_B23","C3_B24","C3_B25","C1_AG1","C1_AG2","C1_AG3","C1_AG4","C2_AG1","C2_AG2","C2_AG3","C2_AG4","C3_AG1","C3_AG2","C3_AG3","C3_AG4","FSM","C1_SConcern1","C1_SConcern2","C1_SConcern3","C1_SConcern4","C1_SConcern5","C1_SConcern6","C1_SConcern7","C1_SConcern8","C1_SConcern9","C1_SConcern10","C1_SConcern11","C1_SConcern12","C1_SConcern13","C1_SConcern14","C1_SConcern15","C1_SConcern16","C1_SConcern17","C1_SConcern18","C1_SConcern19","C1_SConcern20","C2_SConcern1","C2_SConcern2","C2_SConcern3","C2_SConcern4","C2_SConcern5","C2_SConcern6","C2_SConcern7","C2_SConcern8","C2_SConcern9","C2_SConcern10","C2_SConcern11","C2_SConcern12","C2_SConcern13","C2_SConcern14","C2_SConcern15","C2_SConcern16","C2_SConcern17","C2_SConcern18","C2_SConcern19","C2_SConcern20","C3_SConcern1","C3_SConcern2","C3_SConcern3","C3_SConcern4","C3_SConcern5","C3_SConcern6","C3_SConcern7","C3_SConcern8","C3_SConcern9","C3_SConcern10","C3_SConcern11","C3_SConcern12","C3_SConcern13","C3_SConcern14","C3_SConcern15","C3_SConcern16","C3_SConcern17","C3_SConcern18","C3_SConcern19","C3_SConcern20","C2_SL1","C2_SL2","C2_SL3","C2_SL4","C2_SL5","C3_SL1","C3_SL2","C3_SL3","C3_SL4","C3_SL5","C1_LT1","C1_LT2","C1_LT3","C1_LT4","C1_LT5","C1_LT6","C1_LT7","C1_LT8","C1_LT9","C1_LT10","C2_LT1","C2_LT2","C2_LT3","C2_LT4","C2_LT5","C2_LT6","C2_LT7","C2_LT8","C2_LT9","C2_LT10","C3_LT1","C3_LT2","C3_LT3","C3_LT4","C3_LT5","C3_LT6","C3_LT7","C3_LT8","C3_LT9","C3_LT10","C1_L1","C1_L2","C1_L3","C1_L4","C1_L5","C1_L6","C1_L7","C1_L8","C1_L9","C1_L10","C1_L11","C1_L12","C1_L13","C1_L14","C1_L15","C2_L1","C2_L2","C2_L6","C2_L7","C2_L11","C2_L14","C2_L15","C3_L1","C3_L2","C3_L6","C3_L7","C3_L11","C3_L14","C3_L15","KS2MathstestNUM","KS2EnglishtestNUM","Y7EnglishNC","Y7MathsNC"
1,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certainly true","Not true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Not true","Sort of true","Certainly true","Not true","Not true","Sort of true","Certainly true","Not true","Sort of true","Not true","Certainly true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often","Always","Often",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","9","8","8","9","4","9","Not at all worried","Not at all worried","7","6","Not at all worried","8","4","5","Not at all worried","9","9","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES!!","NO!!","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True most of the time","Hardly ever true","Not true at all","Always true","Not true at all","Hardly ever true","Always true",NA,NA,NA,NA,NA,NA,NA,"4","4","6b","6b"
2,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certainly true","Sort of true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Sort of true","Sort of true","Certainly true","Sort of true","Not true","Certainly true","Sort of true","Not true","Not true","Sort of true","Sort of true","Certainly true","Certainly true","Not true","Sort of true","Certainly true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Not true","Sort of true","Not true","Sort of true",NA,NA,NA,NA,"Sometimes","Often","Often","Always","Sometimes","Often","Often","Often","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","7","5","6","I get extremely worried about it","3","I get extremely worried about it","5","Not at all worried","2","8","2","5","4","9","3","5","8","9","9","5","4","Not at all worried","Not at all worried","5","2","8","Not at all worried","Not at all worried","Not at all worried","6","Not at all worried","3","Not at all worried","Not at all worried","Not at all worried","Not at all worried","6","9","Not at all worried","YES!!","NO!!","no","YES!!","NO!!","YES!!","NO!!","yes","YES!!","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","No","NO!!","Yes","Yes","NO!!","Yes","Yes","YES!!","no","yes","no","yes","yes","no","no","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Not true at all","Not true at all","Always true","Sometimes true","Not true at all","True most of the time","Sometimes true","Not true at all","Not true at all","True most of the time","Sometimes true","Not true at all","Sometimes true","4","4","5b","6c"
4,1004,"Sort of true","Not true","Not true","Sort of true",NA,"Sort of true","Not true","Not true","Certainly true","Not true","Sort of true","Not true","Certainly true","Not true","Sort of true","Not true","Sort of true","Certainly true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Sort of true","Sort of true","Sort of true","Sort of true","Not true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Often","Seldom","Always","Often","Never","Seldom","Seldom","Seldom","Never","Sometimes","Always","Often","Yes","3","4","Not at all worried","Not at all worried","5","Not at all worried","6","Not at all worried","4","9","4","Not at all worried","7","4","7","Not at all worried","7","6","8","2","5","5","5",NA,"4","2","9",NA,"4","7","7",NA,"Not at all worried","5","5",NA,"Not at all worried","8","I get extremely worried about it",NA,"Not at all worried","Not at all worried","Not at all worried","Not at all worried",NA,"Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","yes","no","no","yes","no","yes","NO!!","yes","yes","no","YES!!","No","YES!!","No","Yes","Yes","Yes","NO!!","Yes","YES!!","No","Yes","NO!!","YES!!","NO!!","Yes","No","Yes","Yes","Yes","YES!!","NO!!","YES!!","NO!!","YES!!","NO!!","YES!!","no","NO!!","NO!!","True most of the time","Not true at all","Sometimes true","Not true at all","True most of the time","Not true at all","Always true","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Not true at all","Not true at all","Always true","Sometimes true","Not true at all","Not true at all","True most of the time","Sometimes true","Not true at all","Sometimes true","True most of the time","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Always true","4","3","5b","5c"
5,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Sort of true","Certainly true","Sort of true","Sort of true","Certainly true","Sort of true","Not true","Sort of true","Sort of true","Sort of true","Sort of true","Certainly true","Sort of true","Certainly true","Certainly true","Not true","Not true","Not true","Sort of true","Sort of true","Certainly true","Sort of true","Sort of true","Sort of true","Sort of true","Not true","Sort of true","Sort of true","Sort of true",NA,NA,NA,NA,"Seldom","Sometimes","Often","Always","Seldom","Seldom","Sometimes","Seldom","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","6","7","2","5","Not at all worried","8","6","9","3","5","Not at all worried","3","4","6","3","8","5","Not at all worried","7","5","Not at all worried","Not at all worried","5","8","2","6","2","6","7","2","Not at all worried","3","Not at all worried","Not at all worried","3","2","Not at all worried","Not at all worried","4","yes","no","no","no","no","yes","no","yes","YES!!","NO!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","YES!!","NO!!","Yes","NO!!","Yes","No","YES!!","Yes","yes","yes","no","NO!!","YES!!","no","YES!!","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True most of the time","Hardly ever true","Sometimes true","Sometimes true","Hardly ever true","Hardly ever true","Hardly ever true","True most of the time","Hardly ever true","Hardly ever true","Hardly ever true","Hardly ever true","Hardly ever true","Hardly ever true","4","4","5c","4a"
6,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certainly true","Not true","Certainly true","Certainly true","Sort of true","Certainly true","Sort of true","Certainly true","Not true","Sort of true","Certainly true","Sort of true","Not true","Certainly true","Certainly true","Not true","Not true","Sort of true","Certainly true","Not true","Not true","Sort of true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true","Not true",NA,NA,NA,NA,"Often","Sometimes","Always","Sometimes","Sometimes","Often","Always","Never","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all worried","5","2","3","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","2","3","3","5","5","5","2","2","Not at all worried","7","5","Not at all worried","Not at all worried","2","Not at all worried","Not at all worried","Not at all worried","7","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","2","YES!!","NO!!","no","YES!!","NO!!","yes","NO!!","no","NO!!","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","YES!!","No","YES!!","Yes","Yes","YES!!","YES!!",NA,"no",NA,"yes","YES!!","NO!!","NO!!","YES!!","YES!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True most of the time","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Always true","Always true","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Always true","4","3","4a","4c"
7,1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certainly true","Not true","Not true","Not true","Certainly true","Not true","Not true","Sort of true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Certainly true","Not true","Sort of true","Sort of true","Certainly true",NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Always","Sometimes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","3","Not at all worried","2","I get extremely worried about it","Not at all worried","5","Not at all worried","5","Not at all worried","3","Not at all worried","5","4","4","Not at all worried","Not at all worried","7","I get extremely worried about it","4",NA,NA,NA,NA,NA,"yes",NA,"NO!!","NO!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no","yes","NO!!","yes","NO!!","yes","no","YES!!","YES!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Not true at all","Not true at all","Not true at all","Hardly ever true","Not true at all",NA,"5","4","5a","6b"
8,1008,NA,"Not true","Not true","Not true","Certainly true","Not true","Not true",NA,"Not true","Not true","Certainly true","Not true","Not true","Certainly true","Sort of true","Not true","Not true","Not true","Certainly true","Certainly true","Not true","Not true","Not true","Certainly true","Not true","Not true","Sort of true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Certainly true","Not true",NA,"Not true","Not true","Certainly true","Not true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Certainly true","Not true","Not true","Not true","Certainly true","Always","Always","Always",NA,"Often","Always","Always","Often","Always","Always","Always","Always","No","5","6","7","5","5","5","7","4","4","6","7","5","3","4","6","5","5","3","5","8","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","5","5","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","YES!!","NO!!","NO!!","YES!!","NO!!","YES!!","NO!!","NO!!","YES!!","NO!!","YES!!","NO!!",NA,"NO!!","YES!!","NO!!","YES!!","NO!!",NA,"YES!!","YES!!","NO!!","YES!!","NO!!","YES!!","NO!!","YES!!","NO!!","YES!!","YES!!","YES!!","NO!!","yes","NO!!","YES!!","NO!!","YES!!","NO!!","YES!!","YES!!","Always true","Not true at all","Always true","Not true at all","Always true","Not true at all","Always true","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Always true","Not true at all","Always true","Always true","Not true at all","Not true at all","Always true","Not true at all","Not true at all",NA,"Always true","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Always true","4","4","6c","5c"
9,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certainly true","Not true","Not true","Sort of true","Certainly true","Not true","Sort of true","Sort of true","Sort of true","Certainly true","Certainly true","Not true","Not true","Sort of true","Sort of true","Not true","Not true","Certainly true","Certainly true",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Seldom","Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","2","Not at all worried","5","3","3","Not at all worried","4","Not at all worried","6","2","4","Not at all worried","2","Not at all worried","Not at all worried","8","I get extremely worried about it","6",NA,NA,NA,NA,NA,"YES!!","no","yes","no","NO!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","yes","YES!!","no","YES!!","no","YES!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True most of the time","Sometimes true","Sometimes true","True most of the time","Always true","Hardly ever true","Sometimes true",NA,NA,"6c","5a"
10,1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Certainly true","Not true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Not true","Not true","Sort of true","Not true","Not true","Sort of true","Certainly true","Not true","Not true","Not true","Certainly true","Certainly true","Not true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Not true","Not true","Certainly true","Not true","Not true","Sort of true","Certainly true","Not true","Not true","Not true","Sort of true",NA,NA,NA,NA,"Often","Sometimes","Often","Sometimes","Often","Sometimes","Often","Often","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all worried","Not at all worried","2","Not at all worried","Not at all worried","Not at all worried","2","Not at all worried","Not at all worried","Not at all worried","2","2","3","2","Not at all worried","Not at all worried","2","4","Not at all worried","2","2","3","4","3","4","Not at all worried","5","5","Not at all worried","Not at all worried","2","2","3","2","3","Not at all worried","4","6","Not at all worried","4","YES!!","NO!!","no","YES!!","NO!!","YES!!","NO!!","no","YES!!","NO!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","yes","no","yes","no","YES!!","no","yes","no","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always true","Not true at all","Not true at all","True most of the time","Not true at all","Not true at all","True most of the time","Always true","Not true at all","Not true at all","Always true","Not true at all","Not true at all","Always true","4","5","6b","6b"
