"ID","FSM","C1_Eng","C1_Mat","C2_Eng","C2_Mat","C3_Eng","C3_Mat","C1_Btotal","C2_Btotal","C3_Btotal","C1_AGtotal","C2_AGtotal","C3_AGtotal","C1_SCtotal","C2_SCtotal","C3_SCtotal","C1_LTtotal","C2_LTtotal","C3_LTtotal","C1_Ltotal","C2_Ltotal","C3_Ltotal"
1001,1,4,4,4,4,6,6,32,34,40,16,17,15,82,124,135,28,40,17,25,10,7
1002,2,4,4,4,4,5,5,31,33,31,11,16,15,115,47,103,28,31,23,43,10,13
1003,2,4,4,4,4,5,6,38,36,38,12,16,15,128,119,59,31,31,26,37,12,14
1004,2,3,4,3,4,5,5,35,19,37,15,7,13,85,86,26,34,22,17,19,14,8
1005,1,4,4,4,4,5,4,41,39,38,15,14,9,94,99,62,25,40,20,30,18,18
1006,2,3,4,3,4,4,4,37,42,20,13,15,13,83,56,28,19,31,21,26,8,7
1007,1,4,5,4,5,5,6,36,34,34,16,18,17,94,66,75,31,25,16,29,15,16
1008,1,4,4,4,4,6,5,30,30,33,20,18,20,105,28,20,40,40,11,19,8,7
1009,2,4,4,4,4,6,5,42,36,37,11,12,13,144,109,66,40,25,28,61,13,20
1010,2,5,4,5,4,6,6,33,31,31,13,14,15,73,32,57,37,40,19,22,9,7
1011,1,4,4,4,4,5,5,33,32,33,17,15,15,86,94,49,37,40,18,23,9,8
1012,1,5,5,5,5,7,6,33,32,35,18,15,17,46,35,52,37,34,21,26,11,7
1013,1,4,4,4,4,5,6,37,36,35,20,19,17,37,30,24,34,40,22,16,7,7
1014,1,5,4,5,4,5,6,33,34,29,16,14,12,48,122,78,40,37,24,34,13,9
1015,1,5,5,5,5,6,6,38,35,34,16,17,17,52,27,20,34,40,11,53,7,8
1016,1,5,4,5,4,6,6,39,36,34,20,20,20,71,74,27,37,37,15,15,8,8
1017,2,4,4,4,4,5,6,40,39,41,10,9,19,112,64,103,28,19,32,30,18,21
1018,1,5,5,5,5,6,6,32,30,34,18,17,16,52,54,43,31,37,24,16,11,8
1019,1,3,4,3,4,6,5,35,35,34,16,17,16,111,67,37,25,34,27,34,10,21
1020,2,5,4,5,4,5,6,30,33,29,15,16,12,53,23,28,40,40,11,15,11,11
1021,1,4,4,4,4,5,5,38,47,36,17,19,15,98,69,95,34,34,29,38,11,12
1022,1,5,4,5,4,6,6,37,34,29,17,17,18,73,25,29,28,31,23,15,8,7
1023,1,5,4,5,4,6,5,40,38,39,12,14,12,103,74,91,34,37,19,47,15,10
1024,1,5,4,5,4,5,5,34,44,40,15,18,15,119,107,70,37,34,14,34,21,25
1025,2,4,4,4,4,4,5,34,35,31,14,15,12,68,24,54,40,40,22,24,7,8
1026,1,4,5,4,5,5,6,35,31,34,12,14,12,61,33,26,40,40,19,18,9,11
1027,1,4,4,4,4,5,4,32,37,38,18,18,15,32,52,29,40,28,18,17,14,14
1028,1,4,4,4,4,5,5,34,37,38,16,12,11,138,77,40,40,40,21,30,9,10
1029,1,4,4,4,4,5,6,30,36,27,9,13,13,59,20,34,34,40,18,36,9,12
1030,2,3,5,3,5,5,6,34,32,29,11,16,16,102,79,42,34,40,16,22,12,14
1031,1,4,3,4,3,5,4,37,34,40,12,16,17,129,78,93,37,37,14,30,15,20
1032,2,3,3,3,3,4,4,35,34,33,11,13,13,84,94,43,13,40,24,27,15,10
1033,1,5,3,5,3,5,5,33,33,35,6,12,16,85,33,21,19,13,30,26,7,7
1034,1,3,3,3,3,4,4,35,37,30,14,14,13,87,97,95,19,28,25,24,17,13
