"Model","Effect","Beta","DF","T_Value","P_Value","Significant"
"base_model","(Intercept)",35.1627433885495,6854.81435960945,312.669733105488,0,TRUE
"base_model","Time",-0.181124673060157,4587.00023409641,-3.86303168675886,0.000113533290221515,TRUE
"grades_model","(Intercept)",41.0084017181079,6776.74017630836,60.732371074578,0,TRUE
"grades_model","Time",-2.2523331125154,5096.58085072484,-8.19546755225932,3.12876310550395e-16,TRUE
"grades_model","Eng",-0.654586023676778,6802.52016988655,-3.38079924773628,0.000726822321586547,TRUE
"grades_model","Mat",-0.746881698546614,6831.93097470353,-4.29536400501287,1.76822873988325e-05,TRUE
"grades_model","Time:Eng",0.391344292730961,5877.8958693527,5.04299909437186,4.72038975930532e-07,TRUE
"grades_model","Time:Mat",0.106797091584695,5918.3377069953,1.55330815641988,0.120403002169093,FALSE
"full_model","(Intercept)",33.8995892962318,6414.25624327398,38.9099549226088,1.59917135189694e-297,TRUE
"full_model","Time",-1.98780374163143,5871.21723203594,-5.53490430265536,3.2488307659179e-08,TRUE
"full_model","AGtotal",0.0652248713329125,6082.4597715086,1.77745373712902,0.0755435718329959,FALSE
"full_model","SCtotal",0.0189717730030619,6027.2786718209,4.67198490501541,3.04783218192521e-06,TRUE
"full_model","LTtotal",-0.179944154339649,6422.02806120737,-11.2385613936821,4.91421748288193e-29,TRUE
"full_model","Ltotal",0.0837666760567599,5837.2545356719,6.54362194928037,6.51622022583132e-11,TRUE
"full_model","FSM",0.438387369214841,2271.68085961562,3.12307640213769,0.00181226709057635,TRUE
"full_model","Time:AGtotal",0.0165118177495751,5788.14549614009,0.978609613186426,0.327813806840004,FALSE
"full_model","Time:SCtotal",0.0045494774682413,5853.46397328425,2.37236231973112,0.0177068887121176,TRUE
"full_model","Time:LTtotal",0.0809696418071793,6190.64734074948,11.348302249316,1.479034971871e-29,TRUE
"full_model","Time:Ltotal",0.0172168913855784,6256.66306875931,1.99291909468213,0.0463136697827981,TRUE
